#list of cognates (not necessarily the same exact meaning)
#including plurals but excluding verb endings for the moment 
#
acqua;agua
aglio;ajo
aiutare;ayudar
aiutato;ayudado
aiutata;ayudada
aiutati;ayudados
aiutate;ayudadas
alba;alba
albero;árbol
alberi;árboles
alto;alto
alti;altos
alte;altas
alta;alta
altra;otra
altro;otro
altre;otras
altri;otros
alcuno;alguno
alcuni;algunos
alcune;algunas
alcuna;alguna
amico;amigo
amica;amiga
amiche;amigas
amici;amigos
amore;amor
amori;amores
andare;andar
angelo;ángel
angeli;angeles
angolo;ángulo
angoli;ángulos
animale;animal
animali;animales
anno;año
anni;años
antico;antiguo
antica;antigua
antichi;antiguos
antiche;antiguas
aprile;abril
aprire;abrir
aperto;abierto
aperta;abierta
aperte;abiertas
aperti;abiertos
attore;actor
attori;actores
aria;aire
armadio;armario
armadi;armarios
arte;arte
attento;atento
avere;haber
azione;acción
azioni;accones
autunno;otoño
autunni;otoños
bagno;baño
bagni;baños
banca;banco
barca;barco
bello;bello
bene;bien
bianco;blanco
bocca;boca
bocche;bocas
bottiglia;botella
bottiglie;botellas
braccio;brazo
bracci;brazos
bene;bien
buono;bueno
buoni;buenos
buone;buenas
buona;buena
campo;campo
cantante;cantante
cantanti;cantantes
capra;cabra
capre;cabras
cantare;cantar
capello;cabello
capo;cabo
capi;cabos
capra;cabra
carne;carne
casa;casa
case;casas
causa;causa
cause;causas
castagna;castaña
cavaliere;caballero
cavallo;caballo
cena;cena
centro;centro
campagna;campaña
campagne;campañas
capitale;capital
capitali;capitales
capitani;capitanes
capitano;capitán
castagna;castaña
castagne;castañas
certo;cierto
certa;cierta
certi;ciertos
certe;ciertas
chiamare;llamar
chiamato;llamado
chiamata;llamada
chiamati;llamados
chiamate;llamadas
chiaro;claro
chiara;clara
chiari;claros
chiare;claras
chiave;llave
chiavi;llaves
chiesa;iglesia
chiese;iglesias
serrare;cerrar
serrato;cerrado
serrata;cerrada
serrati;cerrados
serrate;cerradas
cielo;cielo
città;ciudad
classe;clase
classi;clases
cocco;coco 
cocchi;cocos
colore;color
colori;colores
colpa;culpa
colpe;culpas
come;como
cominciare;comenzar
compagno;compañero
compagna;compañera
compagne;compañeras
compagni;compañeros
comprare;comprar
comportamento;comportamiento
comportamenti;comportamientos
con;con
consiglio;consejo
consigli;consejos
coniglio;conejo
conigli;conejos
cognato;cuñado
cognati;cuñados
corpo;cuerpo
corpi;cuerpos
correre;correr
coraggio;coraje
cosa;cosa
cose;cosas
costume;costumbre
costumi;costumbres
credere;creer
cristallo;cristal
cristalli;cristales
critica;crítica
crudele;cruel
crudeli;crueles
cucina;cocina
culmine;cumbre
culmini;cumbres
dare;dar
danno;daño
danni;daños
denaro;dinero
debole;débil
deboli;débiles
dente;diente
denti;dientes
destro;derecho
destra;derecha
destri;derechos
destre;derechas
di;de
dio;dios
dire;decir
diritto;derecho
distanza;distancia
distanze;distancias
disegnare;diseñar
diploma;diploma
diplomi;diplomas
dividere;dividir
dito;dedo
dico;digo
dissi;dije
dolce;dulce
dolci;dulces
dormire;dormir
donar;donar
donde;dónde
doppiaggio;doblaje
doppiaggi;doblajes
duro;duro
dure;duras
dura;dura
duri;duros
esempio;ejemplo
essere;ser
età;edad
facile;fácil
facili;fáciles
fame;hambre
famiglia;familia
famiglie;familias
fare;hacer
fatica;fatiga
fatiche;fatigas
farina;harina
fatto;hecho
fatti;hechos
fatta;hecha
fatte;hechas
felice;feliz
felici;felices
femmina;hembra
femmine;hembras
ferro;hierro
ferri;hierros
festa;fiesta
feste;fiestas
fiamma;llama
fiamme;llamas
figlia;hija
figlio;hijo
fine;fin
fissare;fijar
fissato;fijado
fissata;fijada
fissati;fijado
fissate;fijadas
fino;fino
fiore;flor
fiume;río
foglia;hoja
foglie;hojas
forno;horno
forni;hornos
forte;fuerte
forti;fuertes
freddo;frío
fronte;frente
fumo;humo
fuoco;fuego
fuochi;fuegos
fuori;fuera
gatto;gato
gatti;gatos
gelataio;heladero
generale;general
generali;generales
gente;gente
gennaio;enero
giardino;jardín
giocare;jugar
gioco;juego
giochi;juegos
giovane;joven
giovani;jovenes
girare;girar
giudice;juez
giugno;junio
giusto;justo
granaio;granero
grande;grande
grandi;grandes
grigio;gris
guadagnare;ganar
guerra;guerra
gusto;gusto
gusti;gustos
idea;idea
idee;ideas
ieri;ayer
illusione;ilusión
illusioni;ilusiónes
impressione;impresión
impressioni;impresiones
apprendere;aprender
insegnare;enseñar
insegnato;enseñado
insegnati;enseñadi
insegnata;enseñada
insegnate;enseñade
interessante;interesante
interessanti;interesantes
intero;entero
interi;enteros
intera;entera
intere;enteras
iniziare;iniciar
iniziato;iniciado
iniziata;iniciada
iniziati;iniciados
iniziate;iniciadas
importante;importante
incontrare;encontrar
insegnare;enseñar
inverno;invierno
isola;isla
isole;islas
lago;lago
laghi;lagos
lana;lana
latte;leche
latti;leches
lavare;lavar
lavorare;trabajar
libraio;librero
librai;libreros
travaglio;trabajo
travagli;trabajos
legge;ley
leggi;leyes
leggere;leer
leggero;ligero
legno;leño
legni;leños
lento;lento
lenta;lenta
lenti;lentos
lente;lentas
letto;lecho
libro;libro
limone;limón
limoni;limones
lingua;lengua
lingue;lenguas
linguaggio;lenguaje
linguaggi;lenguajes
luce;luz
luci;luces
lotta;lucha
lotte;luchas
lusso;lujo
lussi;lujos
egli;él
luna;luna
lune;lunas
largo;largo
madre;madre
madri;madres
maggiore;mayor
maggiori;mayores
minore;minor
minori;minores
male;mal
mano;mano
mare;mar
marito;marido
mariti;maridos
medico;médico
medici;médicos
mese;mes
mesi;meses
mezzo;medio
mezzi;medios
mezze;medias
mezza;media
minuto;minuto
migliore;mejor
migliori;mejores
massaggio;masaje
massaggi;masajes
messaggio;mensaje
messaggi;mensajes
molle;muelle
molli;muelles
moglie;mujer
mogli;mujeres
molto;mucho
molti;muchos
molta;mucha
molte;muchas
mondo;mundo
moneta;moneda
monete;monedas
montaggio;montaje
montagna;montaña
montagne;montañas
morire;morir
morto;muerto
morti;muertos
morta;muertas
morte;muerta
mostrare;mostrar
movimento;movimiento
movimenti;movimientos
muro;muro
muri;muros
musica;música
musiche;músicas
nazione;nación
nazioni;naciones
necessario;necesario
necessaria;necesaria
necessarie;necesarias
necessari;necesarios
nascere;nacer
nave;nave
navi;naves
nebbia;niebla
nebbie;nieblas
negozio;negocio
negozi;negocios
negro;negro
nemico;enemigo
nervoso;nervioso
nervosa;nerviosa
nervosas;nerviosas
nervosos;nerviosos
normale;normal
normali;normales
neve;nieve
nome;nombre
nomi;nombres
notte;noche
notti;noches
nuovo;nuevo
nuova;nueva
nuovi;nuevos
nuove;nuevas
nube;nube
nubi;nubes
notizia;noticia
notizie;noticias
occasione;ocasión
occasioni;ocasiónes
occhio;ojo
odore;olor
odori;olores
oliva;oliva
olive;olivas
omero;hombro
opposto;opuesto
opposti;opuestos
opposta;opuesta
opposte;opuestas
oggettivo;objetivo
oggetto;objeto
oggi;hoy
onda;onda
onde;ondas
onore;honor
onori;onores
opera;obra
opere;obras
operaio;obrero
