#list of cognates (not necessarily the same exact meaning)
#including plurals but excluding verb endings for the moment 
#
acqua;agua
aglio;ajo
aiutare;ayudar
aiutata;ayudada
aiutate;ayudadas
aiutati;ayudados
aiutato;ayudado
alba;alba
alberi;árboles
albero;árbol
alcuna;alguna
alcune;algunas
alcuni;algunos
alcuno;alguno
alta;alta
alte;altas
alti;altos
alto;alto
altra;otra
altre;otras
altri;otros
altro;otro
amica;amiga
amiche;amigas
amici;amigos
amico;amigo
amore;amor
amori;amores
andare;andar
angeli;angeles
angelo;ángel
angoli;ángulos
angolo;ángulo
animale;animal
animali;animales
anni;años
anno;año
antica;antigua
antiche;antiguas
antichi;antiguos
antico;antiguo
aperta;abierta
aperte;abiertas
aperti;abiertos
aperto;abierto
apprendere;aprender
aprile;abril
aprire;abrir
aria;aire
armadi;armarios
armadio;armario
arte;arte
attento;atento
attore;actor
attori;actores
autunni;otoños
autunno;otoño
avere;haber
azione;acción
azioni;accones
bagni;baños
bagno;baño
banca;banco
barca;barco
basso;bajo
bello;bello
bene;bien
bianco;blanco
bocca;boca
bocche;bocas
bottiglia;botella
bottiglie;botellas
bracci;brazos
braccio;brazo
buona;buena
buone;buenas
buoni;buenos
buono;bueno
campagna;campaña
campagne;campañas
campo;campo
cantante;cantante
cantanti;cantantes
cantare;cantar
capello;cabello
capi;cabos
capitale;capital
capitali;capitales
capitani;capitanes
capitano;capitán
capo;cabo
capra;cabra
capre;cabras
carne;carne
casa;casa
case;casas
castagna;castaña
castagne;castañas
causa;causa
cause;causas
cavaliere;caballero
cavallo;caballo
cena;cena
centro;centro
certa;cierta
certe;ciertas
certi;ciertos
certo;cierto
chiamare;llamar
chiamata;llamada
chiamate;llamadas
chiamati;llamados
chiamato;llamado
chiara;clara
chiare;claras
chiari;claros
chiaro;claro
chiave;llave
chiavi;llaves
chiedere;querer
chiesa;iglesia
chiese;iglesias
cielo;cielo
città;ciudad
classe;clase
classi;clases
cocchi;cocos
cocco;coco 
cognati;cuñados
cognato;cuñado
colore;color
colori;colores
colpa;culpa
colpe;culpas
come;como
cominciare;comenzar
compagna;compañera
compagne;compañeras
compagni;compañeros
compagno;compañero
comportamenti;comportamientos
comportamento;comportamiento
comprare;comprar
con;con
conigli;conejos
coniglio;conejo
consigli;consejos
consiglio;consejo
coraggio;coraje
corpi;cuerpos
corpo;cuerpo
correre;correr
cosa;cosa
cose;cosas
costume;costumbre
costumi;costumbres
credere;creer
cristalli;cristales
cristallo;cristal
critica;crítica
crudele;cruel
crudeli;crueles
cucina;cocina
culmine;cumbre
culmini;cumbres
danni;daños
danno;daño
dare;dar
debole;débil
deboli;débiles
denaro;dinero
dente;diente
denti;dientes
destra;derecha
destre;derechas
destri;derechos
destro;derecho
di;de
dico;digo
dio;dios
diploma;diploma
diplomi;diplomas
dire;decir
diritto;derecho
disegnare;diseñar
dissi;dije
distanza;distancia
distanze;distancias
dito;dedo
dividere;dividir
dolce;dulce
dolci;dulces
donar;donar
donde;dónde
doppiaggi;doblajes
doppiaggio;doblaje
dormire;dormir
dura;dura
dure;duras
duri;duros
duro;duro
egli;él
esempio;ejemplo
essere;ser
età;edad
facile;fácil
facili;fáciles
fame;hambre
famiglia;familia
famiglie;familias
fare;hacer
farina;harina
fatica;fatiga
fatiche;fatigas
fatta;hecha
fatte;hechas
fatti;hechos
fatto;hecho
felice;feliz
felici;felices
femmina;hembra
femmine;hembras
ferri;hierros
ferro;hierro
festa;fiesta
feste;fiestas
fiamma;llama
fiamme;llamas
figlia;hija
figlio;hijo
fine;fin
fino;fino
fiore;flor
fissare;fijar
fissata;fijada
fissate;fijadas
fissati;fijado
fissato;fijado
fiume;río
foglia;hoja
foglie;hojas
forni;hornos
forno;horno
forte;fuerte
forti;fuertes
freddo;frío
fronte;frente
fumo;humo
fuochi;fuegos
fuoco;fuego
fuori;fuera
gatti;gatos
gatto;gato
gelataio;heladero
generale;general
generali;generales
gennaio;enero
gente;gente
germana;hermana
giardino;jardín
giocare;jugar
giochi;juegos
gioco;juego
giovane;joven
giovani;jovenes
girare;girar
giudice;juez
giugno;junio
giusto;justo
granaio;granero
grande;grande
grandi;grandes
grigio;gris
guadagnare;ganar
guerra;guerra
gusti;gustos
gusto;gusto
idea;idea
idee;ideas
ieri;ayer
illusione;ilusión
illusioni;ilusiónes
importante;importante
impressione;impresión
impressioni;impresiones
incontrare;encontrar
incontrata;encontrada
incontrate;encontradas
incontrati;encontrados
incontrato;encontrado
iniziare;iniciar
iniziata;iniciada
iniziate;iniciadas
iniziati;iniciados
iniziato;iniciado
insegnare;enseñar
insegnata;enseñada
insegnate;enseñade
insegnati;enseñadi
insegnato;enseñado
intera;entera
intere;enteras
interessante;interesante
interessanti;interesantes
interi;enteros
intero;entero
inverno;invierno
isola;isla
isole;islas
laghi;lagos
lago;lago
lana;lana
largo;largo
latte;leche
latti;leches
lavare;lavar
lavorare;trabajar
legge;ley
leggere;leer
leggero;ligero
leggi;leyes
legni;leños
legno;leño
lenta;lenta
lente;lentas
lenti;lentos
lento;lento
letto;lecho
librai;libreros
libraio;librero
libro;libro
limone;limón
limoni;limones
lingua;lengua
linguaggi;lenguajes
linguaggio;lenguaje
lingue;lenguas
lotta;lucha
lotte;luchas
luce;luz
luci;luces
luna;luna
lune;lunas
lussi;lujos
lusso;lujo
madre;madre
madri;madres
maggiore;mayor
maggiori;mayores
male;mal
mano;mano
mare;mar
mariti;maridos
marito;marido
massaggi;masajes
massaggio;masaje
medici;médicos
medico;médico
mese;mes
mesi;meses
messaggi;mensajes
messaggio;mensaje
mezza;media
mezze;medias
mezzi;medios
mezzo;medio
migliore;mejor
migliori;mejores
minore;minor
minori;minores
minuto;minuto
mogli;mujeres
moglie;mujer
molle;muelle
molli;muelles
molta;mucha
molte;muchas
molti;muchos
molto;mucho
mondo;mundo
moneta;moneda
monete;monedas
montaggio;montaje
montagna;montaña
montagne;montañas
morire;morir
morta;muertas
morte;muerta
morti;muertos
morto;muerto
mostrare;mostrar
movimenti;movimientos
movimento;movimiento
muri;muros
muro;muro
musica;música
musiche;músicas
nascere;nacer
nave;nave
navi;naves
nazione;nación
nazioni;naciones
nebbia;niebla
nebbie;nieblas
necessari;necesarios
necessaria;necesaria
necessarie;necesarias
necessario;necesario
negozi;negocios
negozio;negocio
negro;negro
nemico;enemigo
nervosa;nerviosa
nervosas;nerviosas
nervoso;nervioso
nervosos;nerviosos
neve;nieve
nevi;nieves
noi;nos 
nome;nombre
nomi;nombres
normale;normal
normali;normales
notizia;noticia
notizie;noticias
notte;noche
notti;noches
nube;nube
nubi;nubes
nuova;nueva
nuove;nuevas
nuovi;nuevos
nuovo;nuevo
occasione;ocasión
occasioni;ocasiónes
occhio;ojo
odore;olor
odori;olores
offerta;oferta
offesa;ofensa
oggettivo;objetivo
oggetto;objeto
oggi;hoy
oliva;oliva
olive;olivas
omero;hombro
onda;onda
onde;ondas
onore;honor
onori;onores
opera;obra
operai;obreros
operaio;obrero
opere;obras
opinione;opinión
opinioni;opiniones
opposta;opuesta
